,sub,model,theta,phi,SSE,AIC,BIC
3,187,IA,184.0635511156613,,586.0,157.2365701460918,159.5673034863781
4,187,MP,0.07747212546901544,-0.00798646217575015,628.0,164.49731878982192,169.1587854703946
5,187,MP_ppSOE,0.2449683652062104,-0.0979486961098294,591.0,159.8822834611023,164.54375014167496
0,188,GR,,,7940.0,353.31907626056864,353.31907626056864
1,188,GA,325.738348971264,,385.0,125.31075954411043,127.64149288439677
2,188,GA_ppSOE,178.67993605581162,,405.0,129.1596832383358,131.49041657862213
3,188,IA,485.5258073026203,,782.0,179.16522641968243,181.4959597599688
4,188,MP,0.05071720881712625,-0.004365012536184651,353.0,120.71583846516941,125.37730514574206
5,188,MP_ppSOE,0.14313606076091293,-0.06825408206432908,298.0,107.84337111264958,112.50483779322224
0,189,GR,,,9299.0,365.3265892705818,365.3265892705818
1,189,GA,110.70690426293024,,545.0,151.7239865326454,154.05471987293174
2,189,GA_ppSOE,179.70678386137124,,566.0,154.59741608168076,156.92814942196708
3,189,IA,1075.051683951972,,540.0,151.02352074467115,153.35425408495752
4,189,MP,0.02480274303974874,0.011209088044228946,533.0,152.031894374843,156.69336105541564
5,189,MP_ppSOE,0.028241398785119123,0.0066993514706155865,518.0,149.86238454995956,154.52385123053222
0,190,GR,,,8768.0,360.8579308365114,360.8579308365114
1,190,GA,185.48108851469425,,1135.0,207.4777488118171,209.80848215210344
2,190,GA_ppSOE,149.8097579168263,,1094.0,204.68156084486526,207.0122941851516
3,190,IA,650.87838187458,,215.0,81.03275627594122,83.36348961622755
4,190,MP,0.031892008250292835,0.07414847047574409,222.0,85.46774716053207,90.12921384110471
5,190,MP_ppSOE,0.03046516344478873,0.05750337786986444,222.0,85.46774716053207,90.12921384110471
0,191,GR,,,4988.0,317.9883294550333,317.9883294550333
1,191,GA,97.388202806845,,901.0,189.9306657164725,192.26139905675885
2,191,GA_ppSOE,99.040021614314,,901.0,189.9306657164725,192.26139905675885
3,191,IA,128.64278587718886,,501.0,145.32632982068858,147.6570631609749
4,191,MP,0.26867164400004323,-0.09178426272872364,556.0,155.24265650128308,159.90412318185577
5,191,MP_ppSOE,0.2701908444221526,-0.09555034355731826,556.0,155.24265650128308,159.90412318185577
0,192,GR,,,4953.0,317.4531698149449,317.4531698149449
1,192,GA,99.60536027731264,,404.0,128.97179686328622,131.3025302035726
2,192,GA_ppSOE,99.29509911624723,,510.0,146.6794812928351,149.01021463312142
3,192,IA,168.44531373361548,,203.0,76.66792054541467,78.998653885701
4,192,MP,0.2505028814755969,-0.0999330762283314,284.0,104.18630823849051,108.84777491906314
5,192,MP_ppSOE,0.25087127963168043,-0.08585195325993436,281.0,103.37922100760349,108.04068768817615
0,193,GR,,,5315.0,322.81417623721853,322.81417623721853
1,193,GA,92.93238089216723,,2553.0,269.08612184859163,271.416855188878
2,193,GA_ppSOE,79.63292563175008,,2392.0,264.1355348835985,266.46626822388487
3,193,IA,98.60129970251886,,2124.0,255.10455119773783,257.4352845380242
