,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time
5,36,4,MP_ppSOE,0.3418997078722402,0.017238384513815642,225.0,86.48789670577476,91.14936338634745,1111.3322441577914
6,36,6,GR,,,5342.0,322.8856383957513,322.8856383957513,0.0
7,36,6,GA,878.7884153380933,,1058.0,202.13857268202545,204.46930602231174,174.5221118927002
8,36,6,GA_ppSOE,97.46351722438055,,2655.0,272.06346109761785,274.39419443790416,214.042484998703
9,36,6,IA,122.33710231494445,,1089.0,204.33341548114385,206.66414882143022,477.8702828884125
10,36,6,MP,0.3273180477809945,0.09093800090200188,560.0,155.78746170165766,160.44892838223032,1060.3666229248047
11,36,6,MP_ppSOE,0.3275301955788272,0.09677872522963944,560.0,155.78746170165766,160.44892838223032,1139.5012590885162
0,37,4,GR,,,3472.0,289.30634922254427,289.30634922254427,0.0
1,37,4,GA,86.99035785437403,,768.0,177.79228585746188,180.1230191977483,126.0736038684845
2,37,4,GA_ppSOE,69.58513871554477,,1153.0,208.67357767868734,211.00431101897362,125.99860405921936
3,37,4,IA,106.07637825367844,,547.0,152.0023751223094,154.33310846259576,207.2199409008026
4,37,4,MP,0.21727954785173964,-0.08022179626609667,652.0,167.34765284466445,172.0091195252371,1202.6792302131653
5,37,4,MP_ppSOE,0.2971908152302211,-0.0936485850659825,586.0,159.2365701460918,163.89803682666442,1121.5188238620758
6,37,6,GR,,,6004.0,332.0780367874937,332.0780367874937,0.0
7,37,6,GA,116.40581235951001,,281.0,101.37922100760349,103.70995434788985,183.30629801750183
8,37,6,GA_ppSOE,99.27076693366976,,941.0,193.23194474672766,195.56267808701404,180.22916197776797
9,37,6,IA,121.74775754734385,,239.0,89.07549608503366,91.40622942531998,457.1120729446411
10,37,6,MP,0.2649707389312382,-0.06765658029587412,512.0,148.9769376412414,153.6384043218141,1216.1987760066984
11,37,6,MP_ppSOE,0.3297577974703874,-0.09081097329343613,276.0,102.01473193274224,106.67619861331491,1108.0242819786072
0,38,4,GR,,,3906.0,298.81874808704873,298.81874808704873,0.0
1,38,4,GA,140.18466583437925,,496.0,144.5640365693333,146.8947699096197,135.6833279132843
2,38,4,GA_ppSOE,76.19704779357865,,724.0,173.3084119595533,175.63914529983964,127.68284201622008
3,38,4,IA,109.79250722757999,,133.0,44.530799883092115,46.86153322337845,245.65240597724915
4,38,4,MP,0.128811953199383,-0.014103706867984338,304.0,109.3583714451117,114.01983812568433,1092.3717241287234
5,38,4,MP_ppSOE,0.2760129568828933,-0.09046012365539824,151.0,56.177533736173096,60.83900041674575,1118.5618979930878
6,38,6,GR,,,7398.0,347.6780343662571,347.6780343662571,0.0
7,38,6,GA,5466.724558554422,,489.0,143.4838153383291,145.81454867861544,130.37515783309937
8,38,6,GA_ppSOE,99.0222537748132,,1137.0,207.6115516632796,209.9422850035659,177.66541385650638
9,38,6,IA,142.3065169105177,,251.0,92.79868951225441,95.12942285254074,390.78203797340393
